album_name,us_peak,uk_peak,release_date,label,us_sales,uk_sales,riaa,riaa_units,bpi,bpi_units,album_id
Taylor Swift,5,81,2006-10-24,Big Machine,5871000,251320,8× Platinum ,8000000,Platinum ,300000,1
Fearless,1,5,2008-11-11,Big Machine,7286000,718518,11× Platinum (Diamond) ,11000000,2× Platinum ,600000,2
Speak Now,1,6,2010-10-25,Big Machine,4817000,416676,6× Platinum ,6000000,Platinum ,300000,3
Red,1,1,2012-10-22,Big Machine,4582000,874532,8× Platinum ,8000000,3× Platinum ,900000,4
1989,1,1,2014-10-27,Big Machine,6472000,1792380,14× Platinum (Diamond) ,14000000,6× Platinum ,1800000,5
Reputation,1,1,2017-11-10,Big Machine,2478000,823579,7× Platinum ,7000000,3× Platinum ,900000,6
Lover,1,1,2019-08-23,Republic,2317000,726521,7× Platinum ,7000000,3× Platinum ,900000,7
Folklore,1,1,2020-07-24,Republic,2289000,692553,6× Platinum ,6000000,3× Platinum ,900000,8
Evermore,1,1,2020-12-11,Republic,913000,421769,4× Platinum ,4000000,Platinum ,300000,9
Fearless (Taylor's Version),1,1,2021-04-09,Republic,737000,217947,4× Platinum ,4000000,Platinum ,300000,10
Red (Taylor's Version),1,1,2021-11-12,Republic,950000,357565,6× Platinum ,6000000,Platinum ,300000,11
Midnights,1,1,2022-10-21,Republic,2814000,830787,7× Platinum ,7000000,3× Platinum ,900000,12
Speak Now (Taylor's Version),1,1,2023-07-07,Republic,908000,209302,4× Platinum ,4000000,Platinum ,300000,13
1989 (Taylor's Version),1,1,2023-10-27,Republic,2389000,390226,4× Platinum ,4000000,2× Platinum ,600000,14
The Tortured Poets Department,1,1,2024-04-19,Republic,3491000,313800,8× Platinum ,8000000,3× Platinum ,900000,15
The Life of a Showgirl,1,1,2025-10-03,Republic,3985000,0,5× Platinum ,5000000,2× Platinum ,600000,16
