artist_name,listeners,playcount,artist_id
Bon Iver,3565072,239195028,1
Brendon Urie,20543,303673,2
Chris Stapleton,885710,30912199,3
Colbie Caillat,2058289,36861267,4
Ed Sheeran,4221513,256598827,5
Fall Out Boy,5081243,424233051,6
Florence + The Machine,3891116,280600000,7
Future,3228048,463526307,8
Gary Lightbody,12876,64669,9
HAIM,1534007,69754612,10
Hayley Williams,813545,55526956,11
Ice Spice,1504491,49982723,12
Keith Urban,1110120,20417037,13
Kendrick Lamar,5103494,1033055266,14
Lana Del Rey,5265956,1585113606,15
Little Big Town,682088,7953184,16
Maren Morris,525536,9179365,17
Panic! At The Disco,4440626,323104179,18
Phoebe Bridgers,2162466,291066409,19
Post Malone,3550482,333682328,20
Sabrina Carpenter,3259962,668139554,21
Sugarland,750641,9365529,22
Taylor Swift,5945953,3681596328,23
The Chicks,421784,9161901,24
The National,2527834,221113285,25
ZAYN,2271248,121086206,26
