album_id,release_date,track_name,track_number,explicit,tempo,energy,danceability,duration_min,time_signature,valence,acousticness,instrumentalness,liveness,loudness,speechiness,full_key,listeners,playcount,track_id
1,2006-10-24,tim mcgraw,1,False,76.009,49.1,57.99999999999999,3.86845,4/4,42.5,57.49999999999999,0.0,12.1,-6.462,2.51,C Major,557218,5558508,1
1,2006-10-24,picture to burn,2,False,105.586,87.7,65.8,2.88445,4/4,82.1,17.299999999999997,0.0,9.62,-2.098,3.2300000000000004,G Major,718799,8906171,2
1,2006-10-24,teardrops on my guitar radio single remix,3,False,99.953,41.7,62.1,3.384,4/4,28.9,28.8,0.0,11.9,-6.941,2.31,Bb Major,441702,4291580,3
1,2006-10-24,a place in this world,4,False,115.028,77.7,57.6,3.32,4/4,42.8,5.1,0.0,32.0,-2.881,3.24,A Major,395849,3532895,4
1,2006-10-24,cold as you,5,False,175.558,48.2,41.8,3.98355,4/4,26.1,21.7,0.0,12.3,-5.769,2.66,F Major,394073,3926967,5
1,2006-10-24,the outside,6,False,112.982,80.5,58.9,3.451783333333333,4/4,59.1,0.491,0.0,24.0,-4.055,2.93,F Major,341395,3065845,6
1,2006-10-24,tied together with a smile,7,False,146.165,57.8,47.9,4.135116666666667,4/4,19.2,52.5,0.0,8.41,-4.963,2.94,D Major,337653,3045791,7
1,2006-10-24,stay beautiful,8,False,131.597,62.9,59.4,3.9342166666666665,4/4,50.4,8.68,0.0,13.7,-4.919,2.46,Ab Major,353394,3093205,8
1,2006-10-24,should've said no,9,False,167.964,77.7,47.6,4.036666666666667,4/4,47.2,1.03,0.0,19.6,-3.771,2.89,E Minor,569623,6449485,9
1,2006-10-24,mary's song,10,False,74.9,62.7,40.3,3.551333333333333,4/4,37.4,1.77,0.0,18.2,-5.28,2.92,D Major,359934,3889085,10
1,2006-10-24,our song,11,False,89.011,67.2,66.8,3.351783333333333,4/4,53.900000000000006,11.1,0.0,32.9,-4.931,3.03,D Major,912379,10693226,11
1,2006-10-24,i'm only me when i'm with you,12,False,143.964,93.4,56.3,3.550883333333333,4/4,51.8,0.4519999999999999,0.0807,10.3,-3.629,6.460000000000001,Ab Major,376028,3811083,12
1,2006-10-24,invisible,13,False,96.001,39.4,61.2,3.3871166666666666,4/4,23.3,63.7,0.0,14.7,-5.723,2.43,G Major,304201,2757328,13
1,2006-10-24,a perfectly good heart,14,False,156.092,75.1,48.3,3.6691166666666666,4/4,26.8,0.349,0.0,12.8,-5.726,3.65,E Major,267459,2223658,14
1,2006-10-24,teardrops on my guitar pop version,15,False,199.997,75.3,45.9,2.98445,4/4,48.3,4.02,0.0,8.63,-3.827,5.37,Bb Major,183095,1263117,15
2,2008-11-11,jump then fall,1,False,160.111,69.0,57.2,3.959666666666666,4/4,62.4,4.74,0.0,8.97,-6.201,3.58,D Major,302829,3742610,16
2,2008-11-11,untouchable,2,False,200.391,53.1,39.3,5.201783333333333,4/4,22.4,1.81,0.0,16.900000000000002,-6.112,3.29,F Major,316271,4027448,17
2,2008-11-11,come in with the rain,4,False,143.929,56.39999999999999,47.6,3.95565,4/4,16.7,4.06,0.0,10.2,-5.677,2.69,D Major,257821,2764515,18
2,2008-11-11,superstar,5,False,171.862,55.50000000000001,45.4,4.39775,4/4,17.1,15.7,0.0,34.300000000000004,-6.69,2.83,D Major,241098,2403207,19
2,2008-11-11,the other side of the door,6,False,163.936,87.3,43.2,3.974066666666667,4/4,62.9,2.79,0.0,16.7,-4.367,5.7700000000000005,E Major,337909,5867881,20
2,2008-11-11,fearless,7,False,100.118,74.1,56.89999999999999,4.026533333333333,4/4,43.0,1.22,0.0,33.300000000000004,-4.963,2.82,F Major,635257,11855363,21
2,2008-11-11,fifteen,8,False,95.466,64.60000000000001,55.900000000000006,4.906983333333334,4/4,28.9,11.6,0.0,32.0,-4.61,2.72,G Major,536530,3871682,22
2,2008-11-11,love story,9,False,119.054,79.2,62.7,3.92945,4/4,41.5,13.0,0.000397,8.450000000000001,-4.311,3.1,D Major,1497926,14389570,23
2,2008-11-11,hey stephen,10,False,115.99,57.1,78.8,4.237583333333333,4/4,79.7,10.6,0.0,9.34,-6.135,2.96,F# Major,392218,3045080,24
2,2008-11-11,white horse,11,False,185.262,51.7,42.3,3.9086,4/4,36.6,36.9,0.0,17.7,-7.377,4.859999999999999,C Major,520148,4263993,25
2,2008-11-11,you belong with me,12,False,130.033,77.3,63.2,3.8520666666666665,4/4,47.4,6.23,0.0,8.85,-4.856,3.46,F# Major,1437246,13776817,26
2,2008-11-11,breathe,13,False,148.035,62.6,50.6,4.389616666666667,4/4,32.1,15.6,0.0,22.8,-6.066,2.87,C# Major,355656,2546144,27
2,2008-11-11,tell me why,14,False,100.023,90.9,57.8,3.3429333333333333,4/4,54.1,2.22,0.0,33.300000000000004,-3.669,6.279999999999999,G Major,337315,2409331,28
2,2008-11-11,you're not sorry,15,False,133.873,44.4,50.6,4.36405,4/4,24.1,5.38,0.0,12.3,-4.99,2.85,F# Major,371957,2990414,29
