Unnamed: 0,track_name,album_name,key,mode,tempo,energy,danceability,duration_min,time_signature,valence,acousticness,instrumentalness,liveness,loudness,speechiness,release_date,album_id
0,Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,B,Major,192.004,38.6,50.4,3.816083333333333,4/4,28.1,50.2,0.00153,9.61,-10.976,3.08,2024-04-19,5H7ixXZfsNMGbIE5OBSpcb
1,The Tortured Poets Department,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,C,Major,110.259,42.8,60.4,4.884133333333334,4/4,29.2,4.83,0.0,12.6,-8.441,2.55,2024-04-19,5H7ixXZfsNMGbIE5OBSpcb
2,My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,C,Major,97.073,56.3,59.6,3.3966833333333333,4/4,48.1,13.7,0.0,30.2,-7.362,2.69,2024-04-19,5H7ixXZfsNMGbIE5OBSpcb
3,Down Bad,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,B,Major,159.707,36.6,54.1,4.3538,4/4,16.8,56.00000000000001,0.0001,9.46,-10.412,7.48,2024-04-19,5H7ixXZfsNMGbIE5OBSpcb
4,"So Long, London",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,A,Major,160.218,53.3,42.3,4.382916666666667,4/4,24.8,73.0,0.264,8.16,-11.388,32.2,2024-04-19,5H7ixXZfsNMGbIE5OBSpcb
5,But Daddy I Love Him,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,E,Major,79.943,72.0,52.1,5.6738,4/4,43.8,38.4,0.0,13.5,-7.684,10.4,2024-04-19,5H7ixXZfsNMGbIE5OBSpcb
6,Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,A,Major,87.115,48.3,33.0,3.51315,4/4,34.0,62.4,0.0,11.1,-9.394,3.99,2024-04-19,5H7ixXZfsNMGbIE5OBSpcb
7,Florida!!! (feat. Florence + The Machine),THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,C,Major,150.088,57.3,53.3,3.59105,4/4,39.8,17.8,0.0,30.9,-7.123,13.8,2024-04-19,5H7ixXZfsNMGbIE5OBSpcb
8,Guilty as Sin?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,D,Major,94.95,42.8,62.6,4.239433333333333,3/4,48.7,60.7,0.0,9.21,-8.374,2.6100000000000003,2024-04-19,5H7ixXZfsNMGbIE5OBSpcb
9,Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,C,Major,119.88,33.800000000000004,60.6,5.568083333333333,4/4,23.8,31.5,0.0,10.6,-10.555,4.8,2024-04-19,5H7ixXZfsNMGbIE5OBSpcb
