artist_name,listeners,playcount
Bon Iver,3565072,239195028
Brendon Urie,20543,303673
Chris Stapleton,885710,30912199
Colbie Caillat,2058289,36861267
Ed Sheeran,4221513,256598827
Fall Out Boy,5081243,424233051
Florence + The Machine,3891116,280600000
Future,3228048,463526307
Gary Lightbody,12876,64669
HAIM,1534007,69754612
Hayley Williams,813545,55526956
Ice Spice,1504491,49982723
Keith Urban,1110120,20417037
Kendrick Lamar,5103494,1033055266
Lana Del Rey,5265956,1585113606
Little Big Town,682088,7953184
Maren Morris,525536,9179365
Panic! At The Disco,4440626,323104179
Phoebe Bridgers,2162466,291066409
Post Malone,3550482,333682328
Sabrina Carpenter,3259962,668139554
Sugarland,750641,9365529
Taylor Swift,5945953,3681596328
The Chicks,421784,9161901
The National,2527834,221113285
ZAYN,2271248,121086206
