artist_name,album_name,release_date,track_name,track_number,explicit
Taylor Swift,The Life of a Showgirl + Acoustic Collection,2025-11-07,The Fate of Ophelia,1,False
Taylor Swift,The Life of a Showgirl + Acoustic Collection,2025-11-07,Elizabeth Taylor,2,False
Taylor Swift,The Life of a Showgirl + Acoustic Collection,2025-11-07,Opalite,3,False
Taylor Swift,The Life of a Showgirl + Acoustic Collection,2025-11-07,Father Figure,4,True
Taylor Swift,The Life of a Showgirl + Acoustic Collection,2025-11-07,Eldest Daughter,5,True
Taylor Swift,The Life of a Showgirl + Acoustic Collection,2025-11-07,Ruin The Friendship,6,False
Taylor Swift,The Life of a Showgirl + Acoustic Collection,2025-11-07,Actually Romantic,7,True
Taylor Swift,The Life of a Showgirl + Acoustic Collection,2025-11-07,Wi$h Li$t,8,True
Taylor Swift,The Life of a Showgirl + Acoustic Collection,2025-11-07,Wood,9,True
Taylor Swift,The Life of a Showgirl + Acoustic Collection,2025-11-07,CANCELLED!,10,True
Taylor Swift,The Life of a Showgirl + Acoustic Collection,2025-11-07,Honey,11,True
"Taylor Swift, Sabrina Carpenter",The Life of a Showgirl + Acoustic Collection,2025-11-07,The Life of a Showgirl (feat. Sabrina Carpenter),12,True
Taylor Swift,The Life of a Showgirl + Acoustic Collection,2025-11-07,The Fate of Ophelia - Alone In My Tower Acoustic Version,13,False
Taylor Swift,The Life of a Showgirl + Acoustic Collection,2025-11-07,Elizabeth Taylor - So Glamorous Cabaret Version,14,False
Taylor Swift,The Life of a Showgirl + Acoustic Collection,2025-11-07,Opalite - Life Is A Song Acoustic Version,15,False
Taylor Swift,The Life of a Showgirl + Acoustic Collection,2025-11-07,Eldest Daughter - Now You’re Home Acoustic Version,16,True
Taylor Swift,The Life of a Showgirl + Acoustic Collection,2025-11-07,Ruin The Friendship - My Advice Version,17,False
Taylor Swift,The Life of a Showgirl + Acoustic Collection,2025-11-07,Wi$h Li$t - Settled Down Acoustic Version,18,True
