album_name,genre,page_length
Taylor Swift,Country,68069
Fearless,Country pop,102368
Speak Now,"Country pop, country rock, pop rock, power pop",91081
Red,"Pop, country pop, arena rock, country rock, pop rock",105111
1989,Synth-pop,142288
Reputation,"Electropop, synth-pop, R&B, trap-pop, EDM",119783
Lover,"Synth-pop, dream pop, pop rock",117983
Folklore,"Chamber pop, indie folk, electro-folk, folk rock, indie rock",144163
Evermore,"Alt-pop, chamber rock, folk-pop, indie folk, indie rock",100745
Midnights,"Synth-pop, electropop, bedroom pop, dream pop",127168
The Tortured Poets Department,"Synth-pop, chamber pop, folk-pop",136566
The Life of a Showgirl,"Soft pop, soft rock",131931
Fearless (Taylor's Version),Country pop,74857
Red (Taylor's Version),"Pop, arena rock, country",83443
Speak Now (Taylor's Version),"Country pop, pop rock",57938
1989 (Taylor's Version),Synth-pop,71621
