Title,Album details,Peak chart positions,Peak chart positions,Peak chart positions,Peak chart positions,Peak chart positions,Peak chart positions,Peak chart positions,Peak chart positions,Peak chart positions,Peak chart positions,Sales[a],Certifications,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0
Title,Album details,US [19],AUS [6],CAN [8],DEN [16],IRE [17],NZ [9],NOR [18],SPA [13],SWE [14],UK [10],Sales[a],Certifications,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1
Taylor Swift,"Released: October 24, 2006 Label: Big Machine Formats: CD, DVD, LP, digital download, streaming",5,33,14,—,59,38,—,—,—,81,"US: 5,871,000[b] UK: 251,320[c]",RIAA: 8× Platinum[26] ARIA: 2× Platinum[27] BPI: Platinum[28] MC: 5× Platinum[29] RMNZ: Platinum[30],,,
Fearless,"Released: November 11, 2008 Label: Big Machine Formats: CD, DVD, LP, digital download, streaming",1,2,1,23,7,1,5,28,12,5,"US: 7,286,000[d] AUS: 500,000[e] UK: 718,518[c]",RIAA: 11× Platinum (Diamond)[33] ARIA: 8× Platinum[27] BPI: 2× Platinum[34] IFPI DEN: Platinum[35] IFPI NOR: Gold[36] IRMA: 2× Platinum[37] MC: 4× Platinum[29] RMNZ: 6× Platinum[38],,,
Speak Now,"Released: October 25, 2010 Label: Big Machine Formats: CD, DVD, LP, digital download, streaming",1,1,1,26,6,1,4,10,18,6,"US: 4,817,000[b] UK: 416,676[c]",RIAA: 6× Platinum[39] ARIA: 3× Platinum[27] BPI: Platinum[40] IFPI NOR: Gold[36] IRMA: Gold[41] MC: 3× Platinum[29] RMNZ: 3× Platinum[42],,,
Red,"Released: October 22, 2012 Label: Big Machine Formats: CD, DVD, LP, digital download, streaming",1,1,1,3,1,1,2,4,8,1,"US: 4,582,000[b] UK: 874,532[c]",RIAA: 8× Platinum[43] ARIA: 5× Platinum[44] BPI: 3× Platinum[45] GLF: Gold[46] IFPI DEN: Platinum[47] IRMA: Platinum[48] MC: 4× Platinum[29] RMNZ: 6× Platinum[49],,,
1989,"Released: October 27, 2014 Label: Big Machine Formats: CD, DVD, LP, digital download, streaming",1,1,1,2,1,1,1,4,17,1,"US: 6,472,000[b] CAN: 542,000[f] UK: 1,792,380[c]",RIAA: 14× Platinum (Diamond)[50] ARIA: 11× Platinum[27] BPI: 6× Platinum[51] GLF: Gold[52] IFPI DEN: 3× Platinum[53] IFPI NOR: 3× Platinum[54] MC: 6× Platinum[29] PROMUSICAE: Gold[55] RMNZ: 10× Platinum[56],,,
Reputation,"Released: November 10, 2017 Label: Big Machine Formats: CD, DVD, LP, digital download, cassette, streaming",1,1,1,3,1,1,1,3,2,1,"US: 2,478,000[b] UK: 823,579[c]",RIAA: 7× Platinum[57] ARIA: 6× Platinum[58] BPI: 3× Platinum[59] GLF: Platinum[46] IFPI DEN: 2× Platinum[60] IFPI NOR: Gold[54] MC: 8× Platinum[29] PROMUSICAE: Gold[61] RMNZ: 6× Platinum[62],,,
Lover,"Released: August 23, 2019 Label: Republic Formats: CD, LP, digital download, cassette, streaming",1,1,1,3,1,1,1,1,1,1,"US: 2,317,000[d] CAN: 61,000[f] UK: 726,521[c]",RIAA: 7× Platinum[64] ARIA: 4× Platinum[58] BPI: 3× Platinum[65] IFPI DEN: 3× Platinum[66] IFPI NOR: Platinum[54] MC: 9× Platinum[29] PROMUSICAE: Gold[67] RMNZ: 6× Platinum[68],,,
Folklore,"Released: July 24, 2020 Label: Republic Formats: CD, LP, digital download, cassette, streaming",1,1,1,1,1,1,1,2,3,1,"US: 2,289,000[b] CAN: 62,000[g] UK: 692,553[c]",RIAA: 6× Platinum[70] ARIA: 3× Platinum[58] BPI: 3× Platinum[71] IFPI DEN: 3× Platinum[72] IFPI NOR: Platinum[54] MC: 7× Platinum[29] PROMUSICAE: Gold[73] RMNZ: 5× Platinum[74],,,
Evermore,"Released: December 11, 2020 Label: Republic Formats: CD, LP, digital download, cassette, streaming",1,1,1,2,2,1,3,11,3,1,"US: 913,000[h] CAN: 31,000[i] UK: 421,769[c]",RIAA: 4× Platinum[77] ARIA: 2× Platinum[58] BPI: Platinum[78] IFPI DEN: 2× Platinum[79] IFPI NOR: Gold[54] MC: 4× Platinum[29] PROMUSICAE: Gold[80] RMNZ: 3× Platinum[81],,,
